"","state","year","household_mean","household_error"
"28.2","Nebraska",1992,2.49,NA
"29.2","Nevada",1992,2.62,NA
"30.2","New Hampshire",1992,2.53,NA
"31.2","New Jersey",1992,2.68,NA
"32.2","New Mexico",1992,2.63,NA
"33.2","New York",1992,2.61,NA
"34.2","North Carolina",1992,2.49,NA
"35.2","North Dakota",1992,2.41,NA
"36.2","Ohio",1992,2.49,NA
"37.2","Oklahoma",1992,2.49,NA
"38.2","Oregon",1992,2.51,NA
"39.2","Pennsylvania",1992,2.48,NA
"40.2","Rhode Island",1992,2.47,NA
"41.2","South Carolina",1992,2.53,NA
"42.2","South Dakota",1992,2.5,NA
"43.2","Tennessee",1992,2.48,NA
"44.2","Texas",1992,2.74,NA
"45.2","Utah",1992,3.13,NA
"46.2","Vermont",1992,2.44,NA
"47.2","Virginia",1992,2.54,NA
"48.2","Washington",1992,2.53,NA
"49.2","West Virginia",1992,2.4,NA
"50.2","Wisconsin",1992,2.5,NA
"51.2","Wyoming",1992,2.48,NA
"1.3","Alabama",1993,2.49,NA
"2.3","Alaska",1993,2.74,NA
"3.3","Arizona",1993,2.64,NA
"4.3","Arkansas",1993,2.49,NA
"5.3","California",1993,2.87,NA
"6.3","Colorado",1993,2.53,NA
"7.3","Connecticut",1993,2.53,NA
"8.3","Delaware",1993,2.54,NA
"9.3","District of Columbia",1993,2.16,NA
"10.3","Florida",1993,2.46,NA
"11.3","Georgia",1993,2.65,NA
"12.3","Hawaii",1993,2.92,NA
"13.3","Idaho",1993,2.69,NA
"14.3","Illinois",1993,2.63,NA
"15.3","Indiana",1993,2.53,NA
"16.3","Iowa",1993,2.46,NA
"17.3","Kansas",1993,2.51,NA
"18.3","Kentucky",1993,2.47,NA
"19.3","Louisiana",1993,2.62,NA
"20.3","Maine",1993,2.39,NA
"21.3","Maryland",1993,2.61,NA
"22.3","Massachusetts",1993,2.51,NA
"23.3","Michigan",1993,2.56,NA
"24.3","Minnesota",1993,2.52,NA
"25.3","Mississippi",1993,2.63,NA
"26.3","Missouri",1993,2.48,NA
"27.3","Montana",1993,2.45,NA
"28.3","Nebraska",1993,2.49,NA
"29.3","Nevada",1993,2.62,NA
"30.3","New Hampshire",1993,2.53,NA
"31.3","New Jersey",1993,2.68,NA
"32.3","New Mexico",1993,2.63,NA
"33.3","New York",1993,2.61,NA
"34.3","North Carolina",1993,2.49,NA
"35.3","North Dakota",1993,2.41,NA
"36.3","Ohio",1993,2.49,NA
"37.3","Oklahoma",1993,2.49,NA
"38.3","Oregon",1993,2.51,NA
"39.3","Pennsylvania",1993,2.48,NA
"40.3","Rhode Island",1993,2.47,NA
"41.3","South Carolina",1993,2.53,NA
"42.3","South Dakota",1993,2.5,NA
"43.3","Tennessee",1993,2.48,NA
"44.3","Texas",1993,2.74,NA
"45.3","Utah",1993,3.13,NA
"46.3","Vermont",1993,2.44,NA
"47.3","Virginia",1993,2.54,NA
"48.3","Washington",1993,2.53,NA
"49.3","West Virginia",1993,2.4,NA
"50.3","Wisconsin",1993,2.5,NA
"51.3","Wyoming",1993,2.48,NA
"1.4","Alabama",1994,2.49,NA
"2.4","Alaska",1994,2.74,NA
"3.4","Arizona",1994,2.64,NA
"4.4","Arkansas",1994,2.49,NA
"5.4","California",1994,2.87,NA
"6.4","Colorado",1994,2.53,NA
"7.4","Connecticut",1994,2.53,NA
"8.4","Delaware",1994,2.54,NA
"9.4","District of Columbia",1994,2.16,NA
"10.4","Florida",1994,2.46,NA
"11.4","Georgia",1994,2.65,NA
"12.4","Hawaii",1994,2.92,NA
"13.4","Idaho",1994,2.69,NA
"14.4","Illinois",1994,2.63,NA
"15.4","Indiana",1994,2.53,NA
"16.4","Iowa",1994,2.46,NA
"17.4","Kansas",1994,2.51,NA
"18.4","Kentucky",1994,2.47,NA
"19.4","Louisiana",1994,2.62,NA
"20.4","Maine",1994,2.39,NA
"21.4","Maryland",1994,2.61,NA
"22.4","Massachusetts",1994,2.51,NA
"23.4","Michigan",1994,2.56,NA
"24.4","Minnesota",1994,2.52,NA
"25.4","Mississippi",1994,2.63,NA
"26.4","Missouri",1994,2.48,NA
"27.4","Montana",1994,2.45,NA
"28.4","Nebraska",1994,2.49,NA
"29.4","Nevada",1994,2.62,NA
"30.4","New Hampshire",1994,2.53,NA
"31.4","New Jersey",1994,2.68,NA
"32.4","New Mexico",1994,2.63,NA
"33.4","New York",1994,2.61,NA
"34.4","North Carolina",1994,2.49,NA
"35.4","North Dakota",1994,2.41,NA
"36.4","Ohio",1994,2.49,NA
"37.4","Oklahoma",1994,2.49,NA
"38.4","Oregon",1994,2.51,NA
"39.4","Pennsylvania",1994,2.48,NA
"40.4","Rhode Island",1994,2.47,NA
"41.4","South Carolina",1994,2.53,NA
"42.4","South Dakota",1994,2.5,NA
"43.4","Tennessee",1994,2.48,NA
"44.4","Texas",1994,2.74,NA
"45.4","Utah",1994,3.13,NA
"46.4","Vermont",1994,2.44,NA
"47.4","Virginia",1994,2.54,NA
"48.4","Washington",1994,2.53,NA
"49.4","West Virginia",1994,2.4,NA
"50.4","Wisconsin",1994,2.5,NA
"51.4","Wyoming",1994,2.48,NA
"1.5","Alabama",1995,2.49,NA
"2.5","Alaska",1995,2.74,NA
"3.5","Arizona",1995,2.64,NA
"4.5","Arkansas",1995,2.49,NA
"5.5","California",1995,2.87,NA
"6.5","Colorado",1995,2.53,NA
"7.5","Connecticut",1995,2.53,NA
"8.5","Delaware",1995,2.54,NA
"9.5","District of Columbia",1995,2.16,NA
"10.5","Florida",1995,2.46,NA
"11.5","Georgia",1995,2.65,NA
"12.5","Hawaii",1995,2.92,NA
"13.5","Idaho",1995,2.69,NA
"14.5","Illinois",1995,2.63,NA
"15.5","Indiana",1995,2.53,NA
"16.5","Iowa",1995,2.46,NA
"17.5","Kansas",1995,2.51,NA
"18.5","Kentucky",1995,2.47,NA
"19.5","Louisiana",1995,2.62,NA
"20.5","Maine",1995,2.39,NA
"21.5","Maryland",1995,2.61,NA
"22.5","Massachusetts",1995,2.51,NA
"23.5","Michigan",1995,2.56,NA
"24.5","Minnesota",1995,2.52,NA
"25.5","Mississippi",1995,2.63,NA
"26.5","Missouri",1995,2.48,NA
"27.5","Montana",1995,2.45,NA
"28.5","Nebraska",1995,2.49,NA
"29.5","Nevada",1995,2.62,NA
"30.5","New Hampshire",1995,2.53,NA
"31.5","New Jersey",1995,2.68,NA
"32.5","New Mexico",1995,2.63,NA
"33.5","New York",1995,2.61,NA
"34.5","North Carolina",1995,2.49,NA
"35.5","North Dakota",1995,2.41,NA
"36.5","Ohio",1995,2.49,NA
"37.5","Oklahoma",1995,2.49,NA
"38.5","Oregon",1995,2.51,NA
"39.5","Pennsylvania",1995,2.48,NA
"40.5","Rhode Island",1995,2.47,NA
"41.5","South Carolina",1995,2.53,NA
"42.5","South Dakota",1995,2.5,NA
"43.5","Tennessee",1995,2.48,NA
"44.5","Texas",1995,2.74,NA
"45.5","Utah",1995,3.13,NA
"46.5","Vermont",1995,2.44,NA
"47.5","Virginia",1995,2.54,NA
"48.5","Washington",1995,2.53,NA
"49.5","West Virginia",1995,2.4,NA
"50.5","Wisconsin",1995,2.5,NA
"51.5","Wyoming",1995,2.48,NA
"1.6","Alabama",1996,2.49,NA
"2.6","Alaska",1996,2.74,NA
"3.6","Arizona",1996,2.64,NA
"4.6","Arkansas",1996,2.49,NA
"5.6","California",1996,2.87,NA
"6.6","Colorado",1996,2.53,NA
"7.6","Connecticut",1996,2.53,NA
"8.6","Delaware",1996,2.54,NA
"9.6","District of Columbia",1996,2.16,NA
"10.6","Florida",1996,2.46,NA
"11.6","Georgia",1996,2.65,NA
"12.6","Hawaii",1996,2.92,NA
"13.6","Idaho",1996,2.69,NA
"14.6","Illinois",1996,2.63,NA
"15.6","Indiana",1996,2.53,NA
"16.6","Iowa",1996,2.46,NA
"17.6","Kansas",1996,2.51,NA
"18.6","Kentucky",1996,2.47,NA
"19.6","Louisiana",1996,2.62,NA
"20.6","Maine",1996,2.39,NA
"21.6","Maryland",1996,2.61,NA
"22.6","Massachusetts",1996,2.51,NA
"23.6","Michigan",1996,2.56,NA
"24.6","Minnesota",1996,2.52,NA
"25.6","Mississippi",1996,2.63,NA
"26.6","Missouri",1996,2.48,NA
"27.6","Montana",1996,2.45,NA
"28.6","Nebraska",1996,2.49,NA
"29.6","Nevada",1996,2.62,NA
"30.6","New Hampshire",1996,2.53,NA
"31.6","New Jersey",1996,2.68,NA
"32.6","New Mexico",1996,2.63,NA
"33.6","New York",1996,2.61,NA
"34.6","North Carolina",1996,2.49,NA
"35.6","North Dakota",1996,2.41,NA
"36.6","Ohio",1996,2.49,NA
"37.6","Oklahoma",1996,2.49,NA
"38.6","Oregon",1996,2.51,NA
"39.6","Pennsylvania",1996,2.48,NA
"40.6","Rhode Island",1996,2.47,NA
"41.6","South Carolina",1996,2.53,NA
"42.6","South Dakota",1996,2.5,NA
"43.6","Tennessee",1996,2.48,NA
"44.6","Texas",1996,2.74,NA
"45.6","Utah",1996,3.13,NA
"46.6","Vermont",1996,2.44,NA
"47.6","Virginia",1996,2.54,NA
"48.6","Washington",1996,2.53,NA
"49.6","West Virginia",1996,2.4,NA
"50.6","Wisconsin",1996,2.5,NA
"51.6","Wyoming",1996,2.48,NA
"1.7","Alabama",1997,2.49,NA
"2.7","Alaska",1997,2.74,NA
"3.7","Arizona",1997,2.64,NA
"4.7","Arkansas",1997,2.49,NA
"5.7","California",1997,2.87,NA
"6.7","Colorado",1997,2.53,NA
"7.7","Connecticut",1997,2.53,NA
"8.7","Delaware",1997,2.54,NA
"9.7","District of Columbia",1997,2.16,NA
"10.7","Florida",1997,2.46,NA
"11.7","Georgia",1997,2.65,NA
"12.7","Hawaii",1997,2.92,NA
"13.7","Idaho",1997,2.69,NA
"14.7","Illinois",1997,2.63,NA
"15.7","Indiana",1997,2.53,NA
"16.7","Iowa",1997,2.46,NA
"17.7","Kansas",1997,2.51,NA
"18.7","Kentucky",1997,2.47,NA
"19.7","Louisiana",1997,2.62,NA
"20.7","Maine",1997,2.39,NA
"21.7","Maryland",1997,2.61,NA
"22.7","Massachusetts",1997,2.51,NA
"23.7","Michigan",1997,2.56,NA
"24.7","Minnesota",1997,2.52,NA
"25.7","Mississippi",1997,2.63,NA
"26.7","Missouri",1997,2.48,NA
"27.7","Montana",1997,2.45,NA
"28.7","Nebraska",1997,2.49,NA
"29.7","Nevada",1997,2.62,NA
"30.7","New Hampshire",1997,2.53,NA
"31.7","New Jersey",1997,2.68,NA
"32.7","New Mexico",1997,2.63,NA
"33.7","New York",1997,2.61,NA
"34.7","North Carolina",1997,2.49,NA
"35.7","North Dakota",1997,2.41,NA
"36.7","Ohio",1997,2.49,NA
"37.7","Oklahoma",1997,2.49,NA
"38.7","Oregon",1997,2.51,NA
"39.7","Pennsylvania",1997,2.48,NA
"40.7","Rhode Island",1997,2.47,NA
"41.7","South Carolina",1997,2.53,NA
"42.7","South Dakota",1997,2.5,NA
"43.7","Tennessee",1997,2.48,NA
"44.7","Texas",1997,2.74,NA
"45.7","Utah",1997,3.13,NA
"46.7","Vermont",1997,2.44,NA
"47.7","Virginia",1997,2.54,NA
"48.7","Washington",1997,2.53,NA
"49.7","West Virginia",1997,2.4,NA
"50.7","Wisconsin",1997,2.5,NA
"51.7","Wyoming",1997,2.48,NA
"1.8","Alabama",1998,2.49,NA
"2.8","Alaska",1998,2.74,NA
"3.8","Arizona",1998,2.64,NA
"4.8","Arkansas",1998,2.49,NA
"5.8","California",1998,2.87,NA
"6.8","Colorado",1998,2.53,NA
"7.8","Connecticut",1998,2.53,NA
"8.8","Delaware",1998,2.54,NA
"9.8","District of Columbia",1998,2.16,NA
"10.8","Florida",1998,2.46,NA
"11.8","Georgia",1998,2.65,NA
"12.8","Hawaii",1998,2.92,NA
"13.8","Idaho",1998,2.69,NA
"14.8","Illinois",1998,2.63,NA
"15.8","Indiana",1998,2.53,NA
"16.8","Iowa",1998,2.46,NA
"17.8","Kansas",1998,2.51,NA
"18.8","Kentucky",1998,2.47,NA
"19.8","Louisiana",1998,2.62,NA
"20.8","Maine",1998,2.39,NA
"21.8","Maryland",1998,2.61,NA
"22.8","Massachusetts",1998,2.51,NA
"23.8","Michigan",1998,2.56,NA
"24.8","Minnesota",1998,2.52,NA
"25.8","Mississippi",1998,2.63,NA
"26.8","Missouri",1998,2.48,NA
"27.8","Montana",1998,2.45,NA
"28.8","Nebraska",1998,2.49,NA
"29.8","Nevada",1998,2.62,NA
"30.8","New Hampshire",1998,2.53,NA
"31.8","New Jersey",1998,2.68,NA
"32.8","New Mexico",1998,2.63,NA
"33.8","New York",1998,2.61,NA
"34.8","North Carolina",1998,2.49,NA
"35.8","North Dakota",1998,2.41,NA
"36.8","Ohio",1998,2.49,NA
"37.8","Oklahoma",1998,2.49,NA
"38.8","Oregon",1998,2.51,NA
"39.8","Pennsylvania",1998,2.48,NA
"40.8","Rhode Island",1998,2.47,NA
"41.8","South Carolina",1998,2.53,NA
"42.8","South Dakota",1998,2.5,NA
"43.8","Tennessee",1998,2.48,NA
"44.8","Texas",1998,2.74,NA
"45.8","Utah",1998,3.13,NA
"46.8","Vermont",1998,2.44,NA
"47.8","Virginia",1998,2.54,NA
"48.8","Washington",1998,2.53,NA
"49.8","West Virginia",1998,2.4,NA
"50.8","Wisconsin",1998,2.5,NA
"51.8","Wyoming",1998,2.48,NA
"1.9","Alabama",1999,2.49,NA
"2.9","Alaska",1999,2.74,NA
"3.9","Arizona",1999,2.64,NA
"4.9","Arkansas",1999,2.49,NA
"5.9","California",1999,2.87,NA
"6.9","Colorado",1999,2.53,NA
"7.9","Connecticut",1999,2.53,NA
"8.9","Delaware",1999,2.54,NA
"9.9","District of Columbia",1999,2.16,NA
"10.9","Florida",1999,2.46,NA
"11.9","Georgia",1999,2.65,NA
"12.9","Hawaii",1999,2.92,NA
"13.9","Idaho",1999,2.69,NA
"14.9","Illinois",1999,2.63,NA
"15.9","Indiana",1999,2.53,NA
"16.9","Iowa",1999,2.46,NA
"17.9","Kansas",1999,2.51,NA
"18.9","Kentucky",1999,2.47,NA
"19.9","Louisiana",1999,2.62,NA
"20.9","Maine",1999,2.39,NA
"21.9","Maryland",1999,2.61,NA
"22.9","Massachusetts",1999,2.51,NA
"23.9","Michigan",1999,2.56,NA
"24.9","Minnesota",1999,2.52,NA
"25.9","Mississippi",1999,2.63,NA
"26.9","Missouri",1999,2.48,NA
"27.9","Montana",1999,2.45,NA
"28.9","Nebraska",1999,2.49,NA
"29.9","Nevada",1999,2.62,NA
"30.9","New Hampshire",1999,2.53,NA
"31.9","New Jersey",1999,2.68,NA
"32.9","New Mexico",1999,2.63,NA
"33.9","New York",1999,2.61,NA
"34.9","North Carolina",1999,2.49,NA
"35.9","North Dakota",1999,2.41,NA
"36.9","Ohio",1999,2.49,NA
"37.9","Oklahoma",1999,2.49,NA
"38.9","Oregon",1999,2.51,NA
"39.9","Pennsylvania",1999,2.48,NA
"40.9","Rhode Island",1999,2.47,NA
"41.9","South Carolina",1999,2.53,NA
"42.9","South Dakota",1999,2.5,NA
"43.9","Tennessee",1999,2.48,NA
"44.9","Texas",1999,2.74,NA
"45.9","Utah",1999,3.13,NA
"46.9","Vermont",1999,2.44,NA
"47.9","Virginia",1999,2.54,NA
"48.9","Washington",1999,2.53,NA
"49.9","West Virginia",1999,2.4,NA
"50.9","Wisconsin",1999,2.5,NA
"51.9","Wyoming",1999,2.48,NA
"1.10","Alabama",2000,2.49,NA
"2.10","Alaska",2000,2.74,NA
"3.10","Arizona",2000,2.64,NA
"4.10","Arkansas",2000,2.49,NA
"5.10","California",2000,2.87,NA
"6.10","Colorado",2000,2.53,NA
"7.10","Connecticut",2000,2.53,NA
"8.10","Delaware",2000,2.54,NA
"9.10","District of Columbia",2000,2.16,NA
"10.10","Florida",2000,2.46,NA
"11.10","Georgia",2000,2.65,NA
"12.10","Hawaii",2000,2.92,NA
"13.10","Idaho",2000,2.69,NA
"14.10","Illinois",2000,2.63,NA
"15.10","Indiana",2000,2.53,NA
"16.10","Iowa",2000,2.46,NA
"17.10","Kansas",2000,2.51,NA
"18.10","Kentucky",2000,2.47,NA
"19.10","Louisiana",2000,2.62,NA
"20.10","Maine",2000,2.39,NA
"21.10","Maryland",2000,2.61,NA
"22.10","Massachusetts",2000,2.51,NA
"23.10","Michigan",2000,2.56,NA
"24.10","Minnesota",2000,2.52,NA
"25.10","Mississippi",2000,2.63,NA
"26.10","Missouri",2000,2.48,NA
"27.10","Montana",2000,2.45,NA
"28.10","Nebraska",2000,2.49,NA
"29.10","Nevada",2000,2.62,NA
"30.10","New Hampshire",2000,2.53,NA
"31.10","New Jersey",2000,2.68,NA
"32.10","New Mexico",2000,2.63,NA
"33.10","New York",2000,2.61,NA
"34.10","North Carolina",2000,2.49,NA
"35.10","North Dakota",2000,2.41,NA
"36.10","Ohio",2000,2.49,NA
"37.10","Oklahoma",2000,2.49,NA
"38.10","Oregon",2000,2.51,NA
"39.10","Pennsylvania",2000,2.48,NA
"40.10","Rhode Island",2000,2.47,NA
"41.10","South Carolina",2000,2.53,NA
"42.10","South Dakota",2000,2.5,NA
"43.10","Tennessee",2000,2.48,NA
"44.10","Texas",2000,2.74,NA
"45.10","Utah",2000,3.13,NA
"46.10","Vermont",2000,2.44,NA
"47.10","Virginia",2000,2.54,NA
"48.10","Washington",2000,2.53,NA
"49.10","West Virginia",2000,2.4,NA
"50.10","Wisconsin",2000,2.5,NA
"51.10","Wyoming",2000,2.48,NA
"110","Alabama",2001,2.48,NA
"210","Alaska",2001,2.65,NA
"310","Arizona",2001,2.63,NA
"410","Arkansas",2001,2.47,NA
"53","California",2001,2.9,NA
"61","Colorado",2001,2.49,NA
"71","Connecticut",2001,2.52,NA
"81","Delaware",2001,2.55,NA
"91","District of Columbia",2001,2.11,NA
"101","Florida",2001,2.48,NA
"111","Georgia",2001,2.63,NA
"121","Hawaii",2001,2.89,NA
"131","Idaho",2001,2.66,NA
"141","Illinois",2001,2.59,NA
"151","Indiana",2001,2.52,NA
"161","Iowa",2001,2.41,NA
"171","Kansas",2001,2.49,NA
"181","Kentucky",2001,2.45,NA
"191","Louisiana",2001,2.55,NA
"201","Maine",2001,2.32,NA
"211","Maryland",2001,2.61,NA
"221","Massachusetts",2001,2.48,NA
"231","Michigan",2001,2.49,NA
"241","Minnesota",2001,2.48,NA
"251","Mississippi",2001,2.58,NA
"261","Missouri",2001,2.45,NA
"271","Montana",2001,2.35,NA
"281","Nebraska",2001,2.46,NA
"291","Nevada",2001,2.65,NA
"301","New Hampshire",2001,2.46,NA
"311","New Jersey",2001,2.68,NA
"321","New Mexico",2001,2.55,NA
"331","New York",2001,2.57,NA
"341","North Carolina",2001,2.48,NA
"351","North Dakota",2001,2.3,NA
"361","Ohio",2001,2.44,NA
"371","Oklahoma",2001,2.49,NA
"381","Oregon",2001,2.47,NA
"391","Pennsylvania",2001,2.45,NA
"401","Rhode Island",2001,2.44,NA
"411","South Carolina",2001,2.49,NA
"421","South Dakota",2001,2.42,NA
"431","Tennessee",2001,2.48,NA
"441","Texas",2001,2.75,NA
"451","Utah",2001,3.1,NA
"461","Vermont",2001,2.34,NA
"471","Virginia",2001,2.54,NA
"481","Washington",2001,2.51,NA
"491","West Virginia",2001,2.36,NA
"501","Wisconsin",2001,2.43,NA
"511","Wyoming",2001,2.42,NA
"1.11","Alabama",2002,2.48,NA
"2.11","Alaska",2002,2.65,NA
"3.11","Arizona",2002,2.63,NA
"4.11","Arkansas",2002,2.47,NA
"5.11","California",2002,2.9,NA
"6.11","Colorado",2002,2.49,NA
"7.11","Connecticut",2002,2.52,NA
"8.11","Delaware",2002,2.55,NA
"9.11","District of Columbia",2002,2.11,NA
"10.11","Florida",2002,2.48,NA
"11.11","Georgia",2002,2.63,NA
"12.11","Hawaii",2002,2.89,NA
"13.11","Idaho",2002,2.66,NA
"14.11","Illinois",2002,2.59,NA
"15.11","Indiana",2002,2.52,NA
"16.11","Iowa",2002,2.41,NA
"17.11","Kansas",2002,2.49,NA
"18.11","Kentucky",2002,2.45,NA
"19.11","Louisiana",2002,2.55,NA
"20.11","Maine",2002,2.32,NA
"21.11","Maryland",2002,2.61,NA
"22.11","Massachusetts",2002,2.48,NA
"23.11","Michigan",2002,2.49,NA
"24.11","Minnesota",2002,2.48,NA
"25.11","Mississippi",2002,2.58,NA
"26.11","Missouri",2002,2.45,NA
"27.11","Montana",2002,2.35,NA
"28.11","Nebraska",2002,2.46,NA
"29.11","Nevada",2002,2.65,NA
"30.11","New Hampshire",2002,2.46,NA
"31.11","New Jersey",2002,2.68,NA
"32.11","New Mexico",2002,2.55,NA
"33.11","New York",2002,2.57,NA
"34.11","North Carolina",2002,2.48,NA
"35.11","North Dakota",2002,2.3,NA
"36.11","Ohio",2002,2.44,NA
"37.11","Oklahoma",2002,2.49,NA
"38.11","Oregon",2002,2.47,NA
"39.11","Pennsylvania",2002,2.45,NA
"40.11","Rhode Island",2002,2.44,NA
"41.11","South Carolina",2002,2.49,NA
"42.11","South Dakota",2002,2.42,NA
"43.11","Tennessee",2002,2.48,NA
"44.11","Texas",2002,2.75,NA
"45.11","Utah",2002,3.1,NA
"46.11","Vermont",2002,2.34,NA
"47.11","Virginia",2002,2.54,NA
"48.11","Washington",2002,2.51,NA
"49.11","West Virginia",2002,2.36,NA
"50.11","Wisconsin",2002,2.43,NA
"51.11","Wyoming",2002,2.42,NA
"1.21","Alabama",2003,2.48,NA
"2.21","Alaska",2003,2.65,NA
"3.21","Arizona",2003,2.63,NA
"4.21","Arkansas",2003,2.47,NA
"5.21","California",2003,2.9,NA
"6.21","Colorado",2003,2.49,NA
"7.21","Connecticut",2003,2.52,NA
"8.21","Delaware",2003,2.55,NA
"9.21","District of Columbia",2003,2.11,NA
"10.21","Florida",2003,2.48,NA
"11.21","Georgia",2003,2.63,NA
"12.21","Hawaii",2003,2.89,NA
"13.21","Idaho",2003,2.66,NA
"14.21","Illinois",2003,2.59,NA
"15.21","Indiana",2003,2.52,NA
"16.21","Iowa",2003,2.41,NA
"17.21","Kansas",2003,2.49,NA
"18.21","Kentucky",2003,2.45,NA
"19.21","Louisiana",2003,2.55,NA
"20.21","Maine",2003,2.32,NA
"21.21","Maryland",2003,2.61,NA
"22.21","Massachusetts",2003,2.48,NA
"23.21","Michigan",2003,2.49,NA
"24.21","Minnesota",2003,2.48,NA
"25.21","Mississippi",2003,2.58,NA
"26.21","Missouri",2003,2.45,NA
"27.21","Montana",2003,2.35,NA
"28.21","Nebraska",2003,2.46,NA
"29.21","Nevada",2003,2.65,NA
"30.21","New Hampshire",2003,2.46,NA
"31.21","New Jersey",2003,2.68,NA
